Date/Time,Electricity:Facility [J](TimeStep),Electricity:Building [J](TimeStep) ,Electricity:Facility [kWh](TimeStep),Electricity:Building [kWh](TimeStep)
 08/03  01:00:00,4275921.927364103,2512949.0120003475,1.1877560909344729,0.6980413922223188
 08/03  02:00:00,3713558.273278319,2294092.763473079,1.031543964799533,0.6372479898536331
 08/03  03:00:00,3498407.573027242,2220207.22953521,0.9717798813964561,0.6167242304264472
 08/03  04:00:00,3369667.174700404,2165347.544008817,0.9360186596390011,0.601485428891338
 08/03  05:00:00,3524109.4502753187,2316539.6208246574,0.9789192917431441,0.6434832280068493
 08/03  06:00:00,4116135.5460765553,2862156.002834441,1.1433709850212654,0.7950433341206781
 08/03  07:00:00,6739814.689611511,3445295.487749608,1.8721707471143088,0.957026524374891
 08/03  08:00:00,6240234.736220862,3832454.012792962,1.7333985378391283,1.064570559109156
 08/03  09:00:00,8300791.322334738,3418967.9146824325,2.305775367315205,0.949713309634009
 08/03  10:00:00,7084237.053906897,3275642.844506638,1.9678436260852492,0.9099007901407328
 08/03  11:00:00,9202470.74831892,3347535.636287194,2.556241874533033,0.9298710100797761
 08/03  12:00:00,7481925.572744176,3393831.179058136,2.0783126590956043,0.9427308830717044
 08/03  13:00:00,9419774.570757926,3331429.966215653,2.616604047432757,0.9253972128376814
 08/03  14:00:00,8198815.039309747,3265266.600238799,2.277448622030485,0.9070185000663331
 08/03  15:00:00,10089146.680370498,3260172.5911784074,2.8025407445473607,0.9056034975495576
 08/03  16:00:00,8903428.181637816,3528580.74774197,2.4731744948993932,0.9801613188172138
 08/03  17:00:00,10133410.977435231,4434438.774882606,2.8148363826208977,1.2317885485785018
 08/03  18:00:00,12802197.293425314,5561955.818540111,3.556165914840365,1.5449877273722532
 08/03  19:00:00,10529115.64480658,5961881.978253314,2.924754345779606,1.6560783272925872
 08/03  20:00:00,11317412.041557528,5878958.06153572,3.143725567099313,1.6330439059821444
 08/03  21:00:00,9049046.1988275,5806546.156386869,2.51362394411875,1.6129294878852414
 08/03  22:00:00,8258105.2104135025,5315932.545519552,2.2939181140037506,1.4766479293109867
 08/03  23:00:00,8489534.317337401,4223630.251844768,2.358203977038167,1.1732306255124356
 08/03  24:00:00,5413453.821460498,3260645.3952520285,1.503737172627916,0.9057348320144524
