Date/Time,Electricity:Facility [J](TimeStep),Electricity:Building [J](TimeStep) ,Electricity:Facility [kWh](TimeStep),Electricity:Building [kWh](TimeStep)
 08/03  01:00:00,4912706.49386481,2512949.0120003475,1.364640692740225,0.6980413922223188
 08/03  02:00:00,4270331.6886358,2294092.763473079,1.1862032468432777,0.6372479898536331
 08/03  03:00:00,3981798.779637456,2220207.22953521,1.10605521656596,0.6167242304264472
 08/03  04:00:00,3789984.884931027,2165347.544008817,1.0527735791475075,0.601485428891338
 08/03  05:00:00,3889405.92821606,2316539.6208246574,1.0803905356155723,0.6434832280068493
 08/03  06:00:00,4414990.101466262,2862156.002834441,1.226386139296184,0.7950433341206781
 08/03  07:00:00,6942265.866461776,3445295.487749608,1.9284071851282711,0.957026524374891
 08/03  08:00:00,6318102.421101737,3832454.012792962,1.755028450306038,1.064570559109156
 08/03  09:00:00,8299425.466597479,3418967.9146824325,2.305395962943744,0.949713309634009
 08/03  10:00:00,7052873.803872011,3275642.844506638,1.9591316121866695,0.9099007901407328
 08/03  11:00:00,1668671.2137721537,0.0,0.46351978160337604,0.0
 08/03  12:00:00,0.0,0.0,0.0,0.0
 08/03  13:00:00,0.0,0.0,0.0,0.0
 08/03  14:00:00,471871.67027763865,0.0,0.13107546396601075,0.0
 08/03  15:00:00,2779069.66294002,0.0,0.7719637952611167,0.0
 08/03  16:00:00,1901865.5617655911,0.0,0.5282959893793309,0.0
 08/03  17:00:00,2439199.314686995,0.0,0.6775553651908319,0.0
 08/03  18:00:00,8774824.216891976,5561955.818540111,2.4374511713588825,1.5449877273722532
 08/03  19:00:00,16351858.717971802,5961881.978253314,4.54218297721439,1.6560783272925872
 08/03  20:00:00,13136251.386095308,5878958.06153572,3.6489587183598076,1.6330439059821444
 08/03  21:00:00,12585001.518634176,5806546.156386869,3.49583375517616,1.6129294878852414
 08/03  22:00:00,9398115.88037552,5315932.545519552,2.6105877445487553,1.4766479293109867
 08/03  23:00:00,7603624.565770778,4223630.251844768,2.112117934936327,1.1732306255124356
 08/03  24:00:00,7681318.668200678,3260645.3952520285,2.133699630055744,0.9057348320144524
