Time,Load,Year,Month,Day,Hour,Quarter,Day of week,Weekday,Day of year,Holiday,EV,Week,Base_load,dif,charging,occ
2018-08-01 12:00:00,3.6966,2018,8,1,12,3,2,1.0,213,False,1,0,3.6966,0.0,0.0,1.0
2018-08-01 13:00:00,4.0092,2018,8,1,13,3,2,1.0,213,False,1,0,4.0092,0.0,0.0,1.0
2018-08-01 14:00:00,4.1772,2018,8,1,14,3,2,1.0,213,False,1,0,4.1772,0.0,0.0,1.0
2018-08-01 15:00:00,4.413,2018,8,1,15,3,2,1.0,213,False,1,0,4.413,0.0,0.0,1.0
2018-08-01 16:00:00,4.4292,2018,8,1,16,3,2,1.0,213,False,1,0,4.4292,0.0,0.0,1.0
2018-08-01 17:00:00,4.5492,2018,8,1,17,3,2,1.0,213,False,1,0,4.5492,0.0,0.0,1.0
2018-08-01 18:00:00,4.893,2018,8,1,18,3,2,1.0,213,False,1,0,4.893,0.0,0.0,1.0
2018-08-01 19:00:00,4.4646,2018,8,1,19,3,2,1.0,213,False,1,0,4.4646,0.0,0.0,1.0
2018-08-01 20:00:00,4.1778,2018,8,1,20,3,2,1.0,213,False,1,0,4.1778,0.0,0.0,1.0
2018-08-01 21:00:00,4.179,2018,8,1,21,3,2,1.0,213,False,1,0,4.179,0.0,0.0,1.0
2018-08-01 22:00:00,3.5898,2018,8,1,22,3,2,1.0,213,False,1,0,3.5898,0.0,0.0,1.0
2018-08-01 23:00:00,9.9468,2018,8,1,23,3,2,1.0,213,False,1,0,3.89399965514902,6.052800344850979,1.0,1.0
2018-08-02 00:00:00,10.4448,2018,8,2,0,3,3,1.0,214,False,1,0,3.5887344158670533,6.856065584132947,1.0,1.0
2018-08-02 01:00:00,9.8712,2018,8,2,1,3,3,1.0,214,False,1,0,2.980945799718831,6.890254200281169,1.0,1.0
2018-08-02 02:00:00,10.056,2018,8,2,2,3,3,1.0,214,False,1,0,3.2506469066802888,6.80535309331971,1.0,1.0
2018-08-02 03:00:00,9.486,2018,8,2,3,3,3,1.0,214,False,1,0,2.925830167225421,6.56016983277458,1.0,1.0
2018-08-02 04:00:00,2.7666,2018,8,2,4,3,3,1.0,214,False,1,0,2.7666,0.0,0.0,1.0
2018-08-02 05:00:00,2.5218,2018,8,2,5,3,3,1.0,214,False,1,0,2.5218,0.0,0.0,1.0
2018-08-02 06:00:00,2.364,2018,8,2,6,3,3,1.0,214,False,1,0,2.364,0.0,0.0,1.0
2018-08-02 07:00:00,2.493,2018,8,2,7,3,3,1.0,214,False,1,0,2.493,0.0,0.0,0.0
2018-08-02 08:00:00,2.4072,2018,8,2,8,3,3,1.0,214,False,1,0,2.4072,0.0,0.0,0.0
2018-08-02 09:00:00,2.5032,2018,8,2,9,3,3,1.0,214,False,1,0,2.5032,0.0,0.0,0.0
2018-08-02 10:00:00,3.2868,2018,8,2,10,3,3,1.0,214,False,1,0,3.2868,0.0,0.0,1.0
2018-08-02 11:00:00,3.171,2018,8,2,11,3,3,1.0,214,False,1,0,3.171,0.0,0.0,1.0
