Time,Load,Year,Month,Day,Hour,Quarter,Day of week,Weekday,Day of year,Holiday,EV,Week,Base_load,dif,charging,occ
2018-08-01 12:00:00,7.126,2018,8,1,12,3,2,1.0,213,False,1,0,0.0282084254214902,7.09779157457851,1.0,1.0
2018-08-01 13:00:00,7.886,2018,8,1,13,3,2,1.0,213,False,1,0,0.7836727266370467,7.102327273362953,1.0,1.0
2018-08-01 14:00:00,9.099,2018,8,1,14,3,2,1.0,213,False,1,0,1.7515494266626537,7.347450573337347,1.0,1.0
2018-08-01 15:00:00,9.67,2018,8,1,15,3,2,1.0,213,False,1,0,3.582808438133504,6.087191561866495,1.0,1.0
2018-08-01 16:00:00,8.599001,2018,8,1,16,3,2,1.0,213,False,1,0,1.8333080509745503,6.765692949025449,1.0,1.0
2018-08-01 17:00:00,8.644,2018,8,1,17,3,2,1.0,213,False,1,0,1.903580649315339,6.740419350684661,1.0,1.0
2018-08-01 18:00:00,7.257,2018,8,1,18,3,2,1.0,213,False,1,0,0.0543497361418232,7.202650263858176,1.0,1.0
2018-08-01 19:00:00,6.451,2018,8,1,19,3,2,1.0,213,False,1,0,6.451,0.0,0.0,1.0
2018-08-01 20:00:00,9.313,2018,8,1,20,3,2,1.0,213,False,1,0,3.166758555155755,6.146241444844246,1.0,1.0
2018-08-01 21:00:00,7.513,2018,8,1,21,3,2,1.0,213,False,1,0,0.5718563602791029,6.941143639720897,1.0,1.0
2018-08-01 22:00:00,5.475,2018,8,1,22,3,2,1.0,213,False,1,0,5.475,0.0,0.0,1.0
2018-08-01 23:00:00,12.162,2018,8,1,23,3,2,1.0,213,False,1,0,5.849109252612784,6.3128907473872165,1.0,1.0
2018-08-02 00:00:00,10.877,2018,8,2,0,3,3,1.0,214,False,1,0,4.398951507959868,6.4780484920401324,1.0,1.0
2018-08-02 01:00:00,4.943,2018,8,2,1,3,3,1.0,214,False,1,0,4.943,0.0,0.0,1.0
2018-08-02 02:00:00,2.93,2018,8,2,2,3,3,1.0,214,False,1,0,2.93,0.0,0.0,1.0
2018-08-02 03:00:00,2.722,2018,8,2,3,3,3,1.0,214,False,1,0,2.722,0.0,0.0,1.0
2018-08-02 04:00:00,2.832,2018,8,2,4,3,3,1.0,214,False,1,0,2.832,0.0,0.0,1.0
2018-08-02 05:00:00,2.65,2018,8,2,5,3,3,1.0,214,False,1,0,2.65,0.0,0.0,1.0
2018-08-02 06:00:00,2.696,2018,8,2,6,3,3,1.0,214,False,1,0,2.696,0.0,0.0,1.0
2018-08-02 07:00:00,2.802,2018,8,2,7,3,3,1.0,214,False,1,0,2.802,0.0,0.0,0.0
2018-08-02 08:00:00,3.171,2018,8,2,8,3,3,1.0,214,False,1,0,3.171,0.0,0.0,0.0
2018-08-02 09:00:00,2.578,2018,8,2,9,3,3,1.0,214,False,1,0,2.578,0.0,0.0,0.0
2018-08-02 10:00:00,2.288,2018,8,2,10,3,3,1.0,214,False,1,0,2.288,0.0,0.0,0.0
2018-08-02 11:00:00,8.187,2018,8,2,11,3,3,1.0,214,False,1,0,1.8637950087778323,6.323204991222167,1.0,1.0
